establecimiento_codigo,establecimiento_codigo_antiguo,establecimiento_glosa,tipo_establecimiento_glosa,ambito_funcionamiento,comuna_codigo,comuna_glosa,latitud,longitud,estado_funcionamiento
200437,12-928,Laboratorio Clínico Metropolitano,Laboratorio Clínico,Establecimiento de Salud,13101,Santiago,,,Cerrado
200363,12-921,Clínica de Cirugía y Estética Edelweiss,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
200364,11-908,Centro Médico y Dental Matucana,Centro de Salud Privado,Establecimiento de Salud,13101,Santiago,,,Cerrado
200439,11-909,Laboratorio Clínico Omega,Laboratorio Clínico,Establecimiento de Salud,13101,Santiago,,,Cerrado
200469,12-931,Clínica Vida Estética,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
200446,12-929,Clínica Paris SpA,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
110515,10-515,Posta de Salud Rural Santa María,Posta de Salud Rural (PSR),Establecimiento de Salud,13502,Alhué,,,Cerrado
109407,09-407,Posta de Salud Rural Juan Pablo II de Lampa,Posta de Salud Rural (PSR),Establecimiento de Salud,13302,Lampa,,,Cerrado
112995,12-995,Centro de Salud Mutual CChC Providencia,Centro de Salud Privado,Establecimiento de Salud,13123,Providencia,,,Cerrado
111214,11-214,Clínica Sierra Bella,Clínica,Establecimiento de Salud,13101,Santiago,,,Cerrado
113242,13-242,Clínica Santa Rosa,Clínica,Establecimiento de Salud,13129,San Joaquín,,,Cerrado
112529,12-529,Vacunatorio Darvax Salud,Vacunatorio,Establecimiento de Salud,13114,Las Condes,,,Cerrado
201313,,GENOSUR (Providencia),Centro de Salud Privado,Establecimiento de Salud,13123,Providencia,,,Cerrado
200577,09-901,Centro Médico Salud Asistencia,Centro de Salud Privado,Establecimiento de Salud,13107,Huechuraba,,,Cerrado
109212,09-212,Centro Médico Vivaceta,Centro de Salud Privado,Establecimiento de Salud,13108,Independencia,,,Cerrado
200887,12-970,Vacunatorio Wengan SpA,Vacunatorio,Establecimiento de Salud,13123,Providencia,,,Cerrado
200724,13-914,Dispostivo Modular de Salud H. Barros Luco,Otro,Unidad de Atención,13130,San Miguel,,,Cerrado
201019,,Centro Logístico de Vacunación MINSAL,Vacunatorio,Unidad de Atención,13120,Ñuñoa,,,Cerrado
201020,,Centro de Registro de Vacunas Covid,Otro,Unidad de Atención,13101,Santiago,,,Cerrado
112979,12-979,Clínica Paris SpA,Clínica,Establecimiento de Salud,13114,Las Condes,,,Cerrado
202293,,INTEGRAMEDICA SUCURSAL MALL VESPUCIO,Centro de Salud Privado,Establecimiento de Salud,13110,La Florida,,,Vigente en Operación Habitual
202296,,SALA EXTERNA DE TOMA DE MUESTRAS_PRINCIPE DE GALES,Sala  Externa de Toma de Muestras (SETM),Unidad de Atención,13113,La Reina,,,Vigente en Operación Habitual
202297,,CET ALAMEDA_SANTIAGO,Centro de Salud Privado,Establecimiento de Salud,13101,Santiago,,,Vigente en Operación Habitual
202301,,SALA EXTERNA DE TOMA DE MUESTRAS_TALAGANTE,Sala  Externa de Toma de Muestras (SETM),Unidad de Atención,13601,Talagante,,,Vigente en Operación Habitual
202306,,SUR Juan Pablo II,Servicio de Urgencia Rural (SUR),Establecimiento de Salud,13302,Lampa,,,Vigente en operación habitual
202307,,CENTRO ODONTOLOGICO UNIVERSIDAD MAYOR,Clínica Dental,Establecimiento de Salud,13101,Santiago,,,Vigente en operación habitual
202368,,UNO SALUD DENTAL SILVA CARVALLO,Clínica Dental,Establecimiento de Salud,13119,Maipú,,,Vigente en Operación Habitual
202369,,UNO SALUD DENTAL SAN RAMON - LIDER SANTA ROSA,Clínica Dental,Establecimiento de Salud,13131,San Ramón,,,Vigente en Operación Habitual
202370,,SALA EXTERNA DE TOMA DE MUESTRAS REDSALUD PEDRO FONTOVA,Sala  Externa de Toma de Muestras (SETM),Unidad de Atención,13107,Huechuraba,,,Vigente en Operación Habitual
