metrica,valor
filas_totales,218794.0
filas_rm,72922.0
anos_cubiertos,6.0
dias_estada_mediana_nacional,9.0
dias_estada_max_nacional,22239.0
pct_snss_nacional,76.0
pct_duplicados_exactos,11.92
